Experiment	Loss	Random_State	Fold	Train Corr	Val Corr
full+numrepeat	Base	1	2	0.8253023028373718	0.8296075463294983
full+numrepeat	Base	1	3	0.8377071619033813	0.8215458393096924
full+numrepeat	Base	1	4	0.8195698261260986	0.8230956196784973
full+numrepeat	Base	42	0	0.8271791338920593	0.8091497421264648
full+numrepeat	Base	42	1	0.8357695937156677	0.827071487903595
full+numrepeat	Base	42	2	0.8171480298042297	0.8188486695289612
full+numrepeat	Base	42	3	0.8571879267692566	0.8319437503814697
full+numrepeat	Base	42	4	0.8246130347251892	0.8143342733383179
full+numrepeat	Base	919	0	0.8266943097114563	0.8148680329322815
full+numrepeat	Base	919	1	0.8167526721954346	0.8084431886672974
full+numrepeat	Base	919	2	0.8252965211868286	0.8259566426277161
full+numrepeat	Base	919	3	0.8277551531791687	0.8266400098800659
