study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	fastq_aspera
PRJEB29746	SAMEA104549471	ERS2160755	ERX2909038	ERR2905878	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905878/ERR2905878_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905878/ERR2905878_2.fastq.gz
PRJEB29746	SAMEA104549472	ERS2160756	ERX2909039	ERR2905879	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905879/ERR2905879_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905879/ERR2905879_2.fastq.gz
PRJEB29746	SAMEA104549473	ERS2160757	ERX2909040	ERR2905880	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905880/ERR2905880_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905880/ERR2905880_2.fastq.gz
PRJEB29746	SAMEA104549474	ERS2160758	ERX2909041	ERR2905881	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905881/ERR2905881_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905881/ERR2905881_2.fastq.gz
PRJEB29746	SAMEA104549475	ERS2160759	ERX2909042	ERR2905882	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905882/ERR2905882_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905882/ERR2905882_2.fastq.gz
PRJEB29746	SAMEA104549476	ERS2160760	ERX2909043	ERR2905883	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905883/ERR2905883_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905883/ERR2905883_2.fastq.gz
PRJEB29746	SAMEA104549477	ERS2160761	ERX2909044	ERR2905884	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905884/ERR2905884_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905884/ERR2905884_2.fastq.gz
PRJEB29746	SAMEA104549478	ERS2160762	ERX2909045	ERR2905885	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905885/ERR2905885_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905885/ERR2905885_2.fastq.gz
PRJEB29746	SAMEA104549479	ERS2160763	ERX2909046	ERR2905886	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905886/ERR2905886_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905886/ERR2905886_2.fastq.gz
PRJEB29746	SAMEA104549480	ERS2160764	ERX2909047	ERR2905887	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905887/ERR2905887_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905887/ERR2905887_2.fastq.gz
PRJEB29746	SAMEA104549484	ERS2160768	ERX2909051	ERR2905891	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905891/ERR2905891_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905891/ERR2905891_2.fastq.gz
PRJEB29746	SAMEA104549490	ERS2160774	ERX2909057	ERR2905897	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905897/ERR2905897_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905897/ERR2905897_2.fastq.gz
PRJEB29746	SAMEA104549444	ERS2160728	ERX2909058	ERR2905898	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905898/ERR2905898_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905898/ERR2905898_2.fastq.gz
PRJEB29746	SAMEA104549445	ERS2160729	ERX2909059	ERR2905899	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905899/ERR2905899_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905899/ERR2905899_2.fastq.gz
PRJEB29746	SAMEA104549446	ERS2160730	ERX2909060	ERR2905900	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905900/ERR2905900_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905900/ERR2905900_2.fastq.gz
